lapTime	speed_Mph	gas	brake	steer	gear	x	y	z
61.143	62.07040786743164	0.0	0.02745002508163452	57.59735107421875	3	-266.3300476074219	-74.31018829345703	-9.17236328125
61.176	61.879764556884766	0.0	0.0	59.778751373291016	3	-265.6371765136719	-74.29005432128906	-9.767888069152832
61.212	61.678001403808594	0.0	0.0	61.66650390625	3	-264.8706359863281	-74.26668548583984	-10.399930953979492
61.254	61.46095657348633	0.0	0.0	62.79915237426758	3	-263.9637145996094	-74.23934173583984	-11.115453720092773
61.29	61.26520538330078	0.0	0.0	64.22544860839844	3	-263.175537109375	-74.21602630615234	-11.709341049194336
61.323	61.07306671142578	0.0	0.0	65.10639953613281	3	-262.4438171386719	-74.19315338134766	-12.236259460449219
61.365	60.833160400390625	0.0	0.0	65.14834594726562	3	-261.5009460449219	-74.16260528564453	-12.883216857910156
61.401	60.63328552246094	0.0	0.0	65.14834594726562	3	-260.68310546875	-74.13584899902344	-13.4169340133667
61.434	60.439308166503906	0.0	0.0	65.14834594726562	3	-259.9254455566406	-74.11040496826172	-13.888419151306152
61.476	60.17072296142578	0.03479594364762306	0.0	64.9385986328125	3	-258.95062255859375	-74.0754165649414	-14.462247848510742
61.512	59.980995178222656	0.19183675944805145	0.0	64.14155578613281	3	-258.1060485839844	-74.04299926757812	-14.930662155151367
61.545	59.88813781738281	0.31887754797935486	0.0	63.26059341430664	3	-257.3238525390625	-74.01112365722656	-15.340911865234375
61.59	59.8863525390625	0.4429081678390503	0.0	62.3796501159668	3	-256.24346923828125	-73.96393585205078	-15.871601104736328
61.623	59.92928695678711	0.5019897818565369	0.0	60.95335006713867	3	-255.44078063964844	-73.92582702636719	-16.23940658569336
61.656	60.012237548828125	0.5268877744674683	0.0	58.85585021972656	3	-254.6293487548828	-73.88458251953125	-16.58974838256836
61.701	60.2003288269043	0.5408673882484436	0.0	56.21300506591797	3	-253.50938415527344	-73.82559204101562	-17.042322158813477
61.734	60.33199691772461	0.5478061437606812	0.0	54.11549758911133	3	-252.67820739746094	-73.77970886230469	-17.35533332824707
61.767	60.41053771972656	0.5637754797935486	0.0	51.51459884643555	3	-251.8394317626953	-73.73014068603516	-17.651155471801758
61.812	60.59400177001953	0.58867347240448	0.0	47.73910140991211	3	-250.68443298339844	-73.65650177001953	-18.028581619262695
61.845	60.80743408203125	0.606632649898529	0.0	45.8932991027832	3	-249.82887268066406	-73.59932708740234	-18.28794288635254
61.878	61.006324768066406	0.6195918321609497	0.0	44.97039794921875	3	-248.9658660888672	-73.53935241699219	-18.532686233520508
61.923	61.27436828613281	0.6405101418495178	0.0	44.46699905395508	3	-247.77857971191406	-73.45301055908203	-18.84421730041504
61.956	61.44586944580078	0.6464795470237732	0.0	44.46699905395508	3	-246.9010772705078	-73.38751983642578	-19.058155059814453
61.989	61.67060852050781	0.645510196685791	0.0	44.50895309448242	3	-246.0179443359375	-73.32162475585938	-19.261131286621094
62.022	61.89585494995117	0.645510196685791	0.0	44.59284973144531	3	-245.12904357910156	-73.25614166259766	-19.4538516998291
62.067	62.19180679321289	0.6444898247718811	0.0	44.71869659423828	3	-243.9078826904297	-73.16789245605469	-19.700103759765625
62.1	62.343666076660156	0.6444898247718811	0.0	44.71869659423828	3	-243.00657653808594	-73.1025619506836	-19.867013931274414
62.133	62.498409271240234	0.6444898247718811	0.0	44.67675018310547	3	-242.10101318359375	-73.03651428222656	-20.022096633911133
62.166	62.75495147705078	0.6444898247718811	0.0	44.71869659423828	3	-241.19041442871094	-72.97132110595703	-20.166311264038086
62.211	63.07414245605469	0.6424999833106995	0.0	45.096248626708984	3	-239.9395294189453	-72.88262176513672	-20.343400955200195
62.244	63.25676345825195	0.6365306377410889	0.0	45.180152893066406	3	-239.01675415039062	-72.8171615600586	-20.458324432373047
62.277	63.43925476074219	0.6385204195976257	0.0	45.180152893066406	3	-238.08984375	-72.7524642944336	-20.561492919921875
62.31	63.6174201965332	0.6394897699356079	0.0	45.180152893066406	3	-237.15895080566406	-72.68923950195312	-20.65342903137207
62.343	63.815101623535156	0.6394897699356079	0.0	45.180152893066406	3	-236.22406005859375	-72.6272201538086	-20.733591079711914
